iso,country,WMG.2019,WMG.2020,WMG 2021,WMG 2022
AFG,Afghanistan,0.0,0.0,4.4,4.4
AGO,Angola,0.0,0.0,9.6,9.6
ALB,Albania,0.0,0.0,13.4,13.4
ARE,United Arab Emirates,26.8,26.8,43.4,43.4
ARG,Argentina,44.6,44.6,42.4,42.4
ARM,Armenia,0.0,0.0,37.5,37.5
ATG,Antigua and Barbuda,75.1,75.1,62.3,62.3
AUS,Australia,77.3,77.3,69,69
AUT,Austria,97.2,97.2,77.4,77.4
AZE,Azerbaijan,0.0,0.0,30.8,30.8
BDI,Burundi,0.0,0.0,2.7,2.7
BEL,Belgium,97.6,97.6,68,68
BEN,Benin,5.8,5.8,29.7,29.7
BFA,Burkina Faso,10.2,10.2,16.7,16.7
BGD,Bangladesh,5.0,5.0,10.5,10.5
BGR,Bulgaria,83.6,83.6,58.8,58.8
BHR,Bahrain,60.4,60.4,62.4,62.4
BHS,Bahamas,0.0,0.0,36.2,36.2
BIH,Bosnia and Herzegovina,27.9,27.9,30.9,30.9
BLR,Belarus,77.5,77.5,49.1,49.1
BLZ,Belize,17.0,17.0,23.4,23.4
BOL,Bolivia,31.1,31.1,50,50
BRA,Brazil,65.8,65.8,38.7,38.7
BRB,Barbados,67.2,67.2,59,59
BRN,Brunei Darussalam,42.5,42.5,59.7,59.7
BTN,Bhutan,59.7,59.7,43.4,43.4
BWA,Botswana,0.7,0.7,27.3,27.3
CAF,Central African Republic,0.0,0.0,3.4,3.4
CAN,Canada,84.7,84.7,59.5,59.5
CHE,Switzerland,99.0,99.0,76.4,76.4
CHL,Chile,65.7,65.7,46.4,46.4
CHN,China,51.8,51.8,28.6,28.6
CIV,Cote d'Ivoire,2.1,2.1,11,11
CMR,Cameroon,10.2,10.2,15.4,15.4
COD,Dem. Rep. Congo,3.5,3.5,4.1,4.1
COG,Republic of Congo,0.0,0.0,23.7,23.7
COL,Colombia,100.0,100.0,60.3,60.3
COM,Comoros,0.0,0.0,15.5,15.5
CPV,Cabo Verde,0.0,0.0,24.1,24.1
CRI,Costa Rica,64.8,64.8,52.5,52.5
CUB,Cuba,25.9,25.9,28.6,28.6
CYP,Cyprus,77.5,77.5,58.9,58.9
CZE,Czech Republic,89.5,89.5,74.9,74.9
DEU,Germany,97.9,97.9,69,69
DJI,Djibouti,0.0,0.0,16.9,16.9
DMA,Dominica,62.4,62.4,48.5,48.5
DNK,Denmark,99.8,99.8,68.3,68.3
DOM,Dominican Republic,5.7,5.7,18.2,18.2
DZA,Algeria,91.6,91.6,32,32
ECU,Ecuador,53.6,53.6,38.5,38.5
EGY,Egypt,16.3,16.3,19.8,19.8
