,"Emissions quantity, tonnes","Total population, thousands",Population density,GDP per capita,WMG,clusters
27,0.08747950791550936,-0.4508063142684461,-0.15820356094343294,-0.41982261841670326,-0.7111609012547434,0
39,-0.4689574697706896,-0.452183192929978,-0.16164545592172175,-0.5116348299427406,-1.1287628349379493,0
40,-0.4138866307265263,-0.452183192929978,-0.16164545592172175,-0.5116348299427406,-1.1287628349379493,0
41,-0.29966563122752105,-0.452183192929978,-0.16164545592172175,-0.5116348299427406,-1.1287628349379493,0
60,-0.45018115393181773,-0.5284173114756108,-0.0931176755587167,-0.012372550131930669,1.2116778530925552,3
68,5.325451722604333,0.1903133498440334,-0.21989281529661592,1.9775879478089287,1.2802393645927832,2
72,-0.4622475579176105,-0.28150643802906633,-0.1561134676182485,1.7006461950090783,1.9004094004357532,1
73,-0.226009098840312,-0.28150643802906633,-0.1561134676182485,1.7006461950090783,1.9004094004357532,1
74,0.26396696443112194,-0.28150643802906633,-0.1561134676182485,1.7006461950090783,1.9004094004357532,1
75,0.26396696443112194,-0.2807196502224767,-0.155907333158024,1.6418494799598815,1.9004094004357532,1
88,0.6210410236125917,-0.24348772723207365,-0.14621350845286654,-0.5018272854010909,-1.1287628349379493,0
89,0.6210410236125917,-0.24202654987697858,-0.14582692988057608,-0.5288223089909782,-1.1287628349379493,0
102,-0.38549150374826896,-0.19734824228849496,0.05796909698655178,-0.716622221303359,-1.1287628349379493,0
115,-0.25803367813909855,-0.1658205308958669,-0.1514335425287003,-0.6643315011481278,-0.20318242968487354,0
128,-0.4684618512815417,-0.1757396771718007,-0.1533529785411173,-0.6701577652322761,-0.9480097591646214,0
129,-0.4000093130303855,-0.1757396771718007,-0.1533529785411173,-0.6701577652322761,-0.9480097591646214,0
130,-0.25803367813909855,-0.1757396771718007,-0.1533529785411173,-0.6701577652322761,-0.9480097591646214,0
143,2.539313323609905,4.2278273776169,0.5738765519568801,-0.6114581545844818,-0.8015374391414073,4
166,-0.3578436169536499,-0.489892808517239,0.9211580666891281,0.5592810609244221,0.8158909457957856,3
167,-0.13153658990889175,-0.489892808517239,0.9211580666891281,0.5592810609244221,0.8158909457957856,3
177,-0.13153658990889175,-0.48902172201708616,0.9453149457325899,0.5256343858384656,0.7535622989773967,3
189,-0.3167987811523718,-0.5196502473450404,-0.17575190376058727,0.8529247707654976,-1.1287628349379493,0
190,-0.16836485610249624,-0.4391168954276856,-0.1828571200512933,-0.38355412449287996,-0.1657852415938402,0
203,-0.4401162861521991,-0.26186484242884617,-0.19306291669475314,-0.38462227290830714,0.40140544445349924,3
204,0.3936665105912074,-0.26186484242884617,-0.19306291669475314,-0.38462227290830714,0.40140544445349924,3
205,2.12299379272568,-0.26186484242884617,-0.19306291669475314,-0.38462227290830714,0.40140544445349924,2
217,-0.46962655473103926,-0.5197626456031246,-0.2112088659440717,-0.4279793881345109,-0.39951766716279874,0
218,-0.43262100961631644,-0.5197626456031246,-0.2112088659440717,-0.4279793881345109,-0.39951766716279874,0
